time,Q,T
2.420000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.430000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.440000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.450000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.460000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.470000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.480000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.490000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.500000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.510000000000000000e+02,3.000000000000000000e+01,5.539000000000000057e+01
2.520000000000000000e+02,3.000000000000000000e+01,5.539000000000000057e+01
2.530000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.540000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.550000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.560000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.570000000000000000e+02,3.000000000000000000e+01,5.475000000000000000e+01
2.580000000000000000e+02,3.000000000000000000e+01,5.475000000000000000e+01
2.590000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.600000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.610000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.620000000000000000e+02,3.000000000000000000e+01,5.410000000000000142e+01
2.630000000000000000e+02,3.000000000000000000e+01,5.410000000000000142e+01
2.640000000000000000e+02,3.000000000000000000e+01,5.378000000000000114e+01
2.650000000000000000e+02,3.000000000000000000e+01,5.346000000000000085e+01
2.660000000000000000e+02,3.000000000000000000e+01,5.346000000000000085e+01
2.670000000000000000e+02,3.000000000000000000e+01,5.314000000000000057e+01
2.680000000000000000e+02,3.000000000000000000e+01,5.314000000000000057e+01
2.690000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.700000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.710000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.720000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.730000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.740000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.750000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.760000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.770000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.780000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.790000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.800000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.810000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.820000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.830000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.840000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.850000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.860000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.870000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.880000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.890000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.900000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.910000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.920000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.930000000000000000e+02,3.000000000000000000e+01,5.088000000000000256e+01
2.940000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.950000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.960000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.970000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.980000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.990000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
3.000000000000000000e+02,3.000000000000000000e+01,5.024000000000000199e+01
3.010000000000000000e+02,3.000000000000000000e+01,5.024000000000000199e+01
3.020000000000000000e+02,3.000000000000000000e+01,5.024000000000000199e+01
3.030000000000000000e+02,3.000000000000000000e+01,5.024000000000000199e+01
3.040000000000000000e+02,3.000000000000000000e+01,5.024000000000000199e+01
3.050000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
3.060000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
3.070000000000000000e+02,3.000000000000000000e+01,4.959000000000000341e+01
3.080000000000000000e+02,3.000000000000000000e+01,4.990999999999999659e+01
